action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Active,5505465,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CCCOc1ccc(C2C(C(=O)OC)=CN(CCOC)C=C2C(=O)OC)cc1,,,CHEMBL1201862,,,"{'bei': '14.52', 'le': '0.28', 'lle': '3.02', 'sei': '7.61'}",CHEMBL1339329,,CHEMBL1339329,5.65,0,http://www.openphacts.org/units/Nanomolar,1283589,=,7,1,=,,IC50,nM,,2220.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,2.22
,Active,5505466,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CCCc1cc2c(OC(=O)CC)c(-c3ccc(C(=O)OCC)o3)c(=O)oc2cc1OC,,,CHEMBL1201862,,,"{'bei': '12.27', 'le': '0.23', 'lle': '0.75', 'sei': '5.00'}",CHEMBL1378709,,CHEMBL1378709,5.26,0,http://www.openphacts.org/units/Nanomolar,1034292,=,7,1,=,,IC50,nM,,5510.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,5.51
,Active,5505467,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc2c(c(=O)n1CCc1ccccc1)C(c1ccco1)C(C#N)=C(N)O2,,,CHEMBL1201862,,,"{'bei': '11.89', 'le': '0.22', 'lle': '1.23', 'sei': '4.71'}",CHEMBL1464508,,CHEMBL1464508,4.44,0,http://www.openphacts.org/units/Nanomolar,1001345,=,7,1,=,,IC50,nM,,36300.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,36.3
,Active,5505468,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccc(Cl)s1,,,CHEMBL1201862,,,"{'bei': '12.90', 'le': '0.29', 'lle': '0.39', 'sei': '7.31'}",CHEMBL1323994,,CHEMBL1323994,5.26,0,http://www.openphacts.org/units/Nanomolar,992353,=,7,1,=,,IC50,nM,,5460.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,5.46
,Active,5505469,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,COc1cccc(-c2nc(-c3ccc4c(c3)-c3ccccc3S4(=O)=O)c(-c3ccccc3)[nH]2)c1OC,,,CHEMBL1201862,,,"{'bei': '9.05', 'le': '0.17', 'lle': '-1.77', 'sei': '5.50'}",CHEMBL1338756,,CHEMBL1338756,4.47,0,http://www.openphacts.org/units/Nanomolar,985260,=,7,1,=,,IC50,nM,,33600.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,33.6
,Active,5505470,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(C)cc(Oc2nc3c(C)cccn3c(=O)c2/C=C(\C#N)C(=O)NC2CCS(=O)(=O)C2)c1,,,CHEMBL1201862,,,"{'bei': '10.77', 'le': '0.21', 'lle': '2.69', 'sei': '4.06'}",CHEMBL1604389,,CHEMBL1604389,5.30,0,http://www.openphacts.org/units/Nanomolar,1026521,=,7,1,=,,IC50,nM,,4950.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,4.95
,Active,5505471,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Oc1ccc(-c2cnns2)c(O)c1,,,CHEMBL1201862,,,"{'bei': '23.18', 'le': '0.47', 'lle': '2.88', 'sei': '6.80'}",CHEMBL1468099,,CHEMBL1468099,4.50,0,http://www.openphacts.org/units/Nanomolar,1050935,=,7,1,=,,IC50,nM,,31500.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,31.5
,inactive,5505472,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,O=C(COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2)NC1CCCC1,,,CHEMBL1201862,,,,CHEMBL1467976,,CHEMBL1467976,,0,http://www.openphacts.org/units/Nanomolar,1045985,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505473,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(O)ccc1Nc1nc2ccccc2nc1Nc1ccc(O)cc1C,,,CHEMBL1201862,,,"{'bei': '13.46', 'le': '0.24', 'lle': '-0.14', 'sei': '5.55'}",CHEMBL1608118,,CHEMBL1608118,5.01,0,http://www.openphacts.org/units/Nanomolar,1281781,=,7,1,=,,IC50,nM,,9730.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,9.73
,Active,5505474,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,N=c1c(S(=O)(=O)c2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,,,CHEMBL1201862,,,"{'bei': '12.65', 'le': '0.24', 'lle': '2.87', 'sei': '4.95'}",CHEMBL1479811,,CHEMBL1479811,5.47,0,http://www.openphacts.org/units/Nanomolar,1297798,=,7,1,=,,IC50,nM,,3380.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,3.38
